Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorBefore	MassErrorAfter	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription	MatchedMassTagID	NumHQProfilePeaks	FitScoreLabeled	AreaDifferenceCurve	AreaRatioCurve	AreaRatioCurveRevised	ChromCorrMin	ChromCorrMax	ChromCorrAverage	ChromCorrMedian	ChromCorrStdev	NumCarbonsLabelled	PercentCarbonsLabelled	PercentPeptidesLabelled	ContigScore	RSquared	ValidationCode
Yellow_C13_070_23Mar10_Griffin_10-01-28	7220		C57H94N14O26	2	5803	5784	5834	1	0.33664	-0.336637	2	0	1390.64852	1390.64852	1.54	1.54	696.33153	648833.1	0.0028	0.0000			182755211	9	0.2028	0.022	1067.161	275.844	0.01372	0.99921	0.84688	0.96444	0.30445	5.985	10.50	2.35	4	0.9893	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7585		C63H109N17O21	2	11805	11777	11826	1	0.68388	-0.683878	1	0	1439.80479	1439.80479	4.44	4.44	720.90967	124672.3	0.0013	0.0000			354870998	8	0.1711	0.048	82.794	82.794	0.97900	0.99977	0.99474	0.99653	0.00694	4.883	7.75	3.60	4	0.9991	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698		C67H111N19O17	2	9081	9053	9114	1	0.52643	-0.526426	2	0	1453.84214	1453.84214	1.11	1.11	727.92835	33077.5	0.0379	0.0199			355177712	5	0.6128	0.015	2.181	-0.209	0.70017	0.99574	0.93312	0.97443	0.11561	3.518	5.25	7.25	1	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698		C66H115N15O21	2	9081	9053	9114	1	0.52643	-0.526426	2	0	1453.84214	1453.84214	2.03	2.03	727.92835	33077.5	0.0316	0.0199			344957813	5	0.6131	0.016	2.159	-0.139	0.70017	0.99574	0.93312	0.97443	0.11561	3.630	5.50	6.35	1	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C66H115N15O21	2	9421	9388	9448	1	0.54578	-0.545781	2	0	1453.84357	1453.84357	3.00	3.00	727.92906	64506.39	0.0188	0.0146			344979629	6	0.2302	0.068	52.232	3.763	0.45356	0.99880	0.90230	0.98679	0.20103	3.465	5.25	8.80	3	0.9968	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C67H111N19O17	2	9421	9388	9448	1	0.54578	-0.545781	2	0	1453.84357	1453.84357	2.08	2.08	727.92906	64506.39	0.0235	0.0146			355177712	6	0.2301	0.066	59.102	3.794	0.45356	0.99880	0.90230	0.98679	0.20103	3.518	5.25	9.55	3	0.9966	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C66H115N15O21	2	9421	9388	9448	1	0.54578	-0.545781	2	0	1453.84357	1453.84357	3.00	3.00	727.92906	64506.39	0.0188	0.0146			344957813	6	0.2302	0.068	52.232	3.763	0.45356	0.99880	0.90230	0.98679	0.20103	3.465	5.25	8.80	3	0.9968	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C67H111N19O17	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.84053	0.00000	-1000000.00	-1000000.00	727.92754	0	1.0000	1.0000	ChromDataNotFound		355177712	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C66H115N15O21	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.83920	0.00000	-1000000.00	-1000000.00	727.92687	0	1.0000	1.0000	ChromDataNotFound		344957813	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C66H115N15O21	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.83920	0.00000	-1000000.00	-1000000.00	727.92687	0	1.0000	1.0000	ChromDataNotFound		344979629	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
