TargetID	EmpiricalFormula	ChargeState	Scan
7220	C57H94N14O26	2	8721
7585	C63H109N17O21	2	17707
7698	C67H111N19O17	2	13638
7698	C66H115N15O21	2	13638
7699	C66H115N15O21	2	14148
7699	C67H111N19O17	2	14148
7699	C66H115N15O21	2	14148
7700	C67H111N19O17	2	-1
7700	C66H115N15O21	2	-1
7700	C66H115N15O21	2	-1
8517	C64H110N22O22	2	12748
8517	C64H110N22O22	2	12748
8517	C72H114N16O19S	2	12748
8517	C68H114N16O24	2	12748
8518	C67H114N18O21S	2	9586
8586	C66H109N23O20	2	9768
8616	C65H109N15O26S	2	18885
8617	C65H109N15O26S	2	18271
8618	C68H105N23O19	2	3645
